1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	
Non-Redundancy	5	2	3	
Referential Clarity	4	3	2	
Focus	1	5	4	
Structure	1	5	4	
Coherence	2	5	4	
Readability	3	4	4	
Information Content	2	4	2	
Spelling	5	3	4	
Length	2	1	3	
Overall Quality	2	5	4	
