1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	4	
Non-Redundancy	5	1	4	
Referential Clarity	1	4	4	
Focus	2	4	3	
Structure	1	2	4	
Coherence	1	4	4	very incoherent and loose sentences
Readability	2	3	2	
Information Content	3	3	4	
Spelling	2	4	5	
Length	5	1	5	
Overall Quality	2	3	3	
