1004	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	1	5	
Non-Redundancy	5	3	5	
Referential Clarity	3	3	5	
Focus	2	3	5	
Structure	2	5	5	strange text in the middle
Coherence	2	3	5	
Readability	2	2	5	
Information Content	4	3	5	
Spelling	1	3	5	
Length	5	2	5	
Overall Quality	3	3	5	
