1015	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	2	4	4	sentence 3 in has a lot of grammar mistakes, sentence 4 is not a sentence, sentence 5	
Non-Redundancy	4	4	4		
Referential Clarity	3	5	3	it (1), I (2), 	
Focus	2	4	5		
Structure	2	4	4		
Coherence	2	3	4		
Readability	2	4	4		
Information Content	2	4	5		
Spelling	5	5	3		
Length	3	3	3	too long	
Overall Quality	2	4	5		
