1024	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	2	5	
"Referential Clarity"	2	2	5	"Z.4 : Welche “school”, Z.5, 6: unaufgelöste Personalpronomen"
"Focus"	3	2	5	"Z.4, 2. Satz; Z.8,Z.9: kein direkter Bezug zu “bullying”"
"Structure"	1	2	5	
"Coherence"	1	2	5	
"Readability"	1	2	5	
"Information Content"	2	5	5	"Z. 6 und 7 enthalten immerhin ein bisschen Informationen; ansonsten gibt es die Auflösungsprobleme und zu viele Fragen, die keinen Inhalt enthalten"
"Spelling"	5	1	5	
"Length"	2	2	2	
"Overall Quality"	1	5	5	
