1034	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	5	1	5		
Non-Redundancy	5	2	4		
Referential Clarity	2	5	5		
Focus	1	5	5		
Structure	1	3	3		
Coherence	1	3	2		
Readability	5	1	5		
Information Content	2	5	4		
Spelling	5	1	5		
Length	3	1	4		
Overall Quality	1	5	4		
