1049	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	"""And"" at the beginning, ""To"" at the beginning, punctuation like "")"" or "":"""
Non-Redundancy	4	5	5	
Referential Clarity	1	5	5	"""Let her…"", ""He"", ""Convine me…"" and many more"
Focus	2	4	4	
Structure	1	4	4	
Coherence	1	4	3	
Readability	3	4	5	
Information Content	1	3	4	Many referential and out of context problems
Spelling	2	4	4	
Length	4	4	5	
Overall Quality	2	5	4	
