1031	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	Punctuation, Citation, strange sentences
Non-Redundancy	4	5	5	
Referential Clarity	4	5	5	
Focus	3	4	4	
Structure	1	4	4	Punctuation, Citation, strange sentences
Coherence	1	4	3	Punctuation, Citation, strange sentences
Readability	1	4	5	Punctuation, Citation, strange sentences
Information Content	2	3	4	Punctuation, Citation, strange sentences
Spelling	2	4	4	Punctuation, Citation, strange sentences
Length	4	4	5	
Overall Quality	2	5	4	
