1033	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	1	5	5	
Non-Redundancy	4	1	5	
Referential Clarity	4	1	5	
Focus	1	5	5	
Structure	1	5	5	
Coherence	1	5	5	
Readability	1	5	5	
Information Content	1	5	5	Just a list of reference papers…?
Spelling	4	1	5	
Length	2	5	5	
Overall Quality	1	5	5	
