1038	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	3	4	
Non-Redundancy	3	3	3	
Referential Clarity	4	3	4	
Focus	4	4	4	
Structure	3	3	2	
Coherence	3	3	2	
Readability	5	4	4	
Information Content	1	5	5	Too much useless sentences.
Spelling	4	3	4	
Length	2	3	3	
Overall Quality	3	4	3	
