1043	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	3	5	
Non-Redundancy	1	5	5	repeates four times the same argument
Referential Clarity	4	3	5	
Focus	4	2	5	
Structure	3	3	3	
Coherence	3	3	3	
Readability	3	4	5	
Information Content	2	3	5	
Spelling	3	3	4	
Length	5	2	5	
Overall Quality	2	3	5	
