1044	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	1	2	
Non-Redundancy	3	2	2	
Referential Clarity	3	3	2	
Focus	1	5	4	Nothing regarding the query is in the summary?
Structure	3	1	2	
Coherence	4	1	2	
Readability	4	1	2	
Information Content	3	1	2	
Spelling	4	1	2	
Length	1	3	3	
Overall Quality	1	4	4	
