1046	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	5	4	4		
Non-Redundancy	5	4	4		
Referential Clarity	5	5	3		
Focus	4	4	3		
Structure	4	5	4		
Coherence	4	4	3		
Readability	5	4	5		
Information Content	4	3	5		
Spelling	5	5	3		
Length	5	4	2		
Overall Quality	5	4	5		
