1048	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)	
Grammaticality	2	5	5	first sentence and last sentence	
Non-Redundancy	3	3	5	line 5 and 8 say pretty much the same	
Referential Clarity	5	5	5		
Focus	5	4	5		
Structure	4	4	5		
Coherence	4	4	5		
Readability	5	5	5		
Information Content	3	4	5		
Spelling	5	3	5		
Length	3	3	5	could be shorter	
Overall Quality	4	5	4		
