1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	""":"" was used in an apropriate way 2 times"
Non-Redundancy	5	2	5	
Referential Clarity	3	4	5	"""this training"" has no reference"
Focus	4	3	4	
Structure	2	4	4	
Coherence	3	4	5	
Readability	3	5	5	
Information Content	3	5	4	
Spelling	5	3	4	
Length	5	2	4	
Overall Quality	3	5	5	
