1004	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	5	3	4	
Referential Clarity	3	2	4	
Focus	4	2	3	
Structure	2	2	3	
Coherence	4	3	4	
Readability	3	2	3	
Information Content	3	5	3	
Spelling	4	2	4	(word) instead of ( word )
Length	4	4	5	
Overall Quality	4	5	4	
