1005	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	4	2	"I don't know whether this is the right category for this critique but there are multiple sentences within one line (which is violating the summary guidelines)"
"Non-Redundancy"	5	4	5	
"Referential Clarity"	3	5	4	"Who is 'Sarah' and 'her' in the firstmost sentence"
"Focus"	3	5	3	"It is not clear to me, what the summary really is about"
"Structure"	5	4	4	
"Coherence"	5	4	4	"After introducing 'Your daughter' in the first line, working with the pronoun 'her'/'she' in the following sentences is really good"
"Readability"	5	4	4	
"Information Content"	4	5	4	
"Spelling"	4	4	5	"Closing double quotes at the first sentence but not opened"
"Length"	4	5	4	
"Overall Quality"	3	5	5	"Too much is unclear that you probably do not get much information out of it"
