1011	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	3	2	
Non-Redundancy	3	3	3	
Referential Clarity	1	4	4	"Very often ""they"""
Focus	2	3	3	
Structure	2	4	4	
Coherence	2	4	4	
Readability	2	3	5	
Information Content	1	3	2	
Spelling	3	2	2	
Length	2	3	3	
Overall Quality	2	3	3	
