1018	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	4	5	
"Non-Redundancy"	5	5	4	
"Referential Clarity"	3	5	3	"First sentence: These? What is FDSLP (2nd sentence)?"
"Focus"	5	5	4	
"Structure"	5	4	4	
"Coherence"	4	4	4	
"Readability"	5	4	5	
"Information Content"	5	5	4	
"Spelling"	4	4	4	"In the 3rd sentence the word 'student' is uppercased for no reason"
"Length"	4	5	5	"Only about 500 characters"
"Overall Quality"	4	5	4	
