1020	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	5	5	
Non-Redundancy	2	5	5	Duplicated sentence
Referential Clarity	4	4	5	
Focus	2	4	4	
Structure	3	4	4	
Coherence	3	4	4	
Readability	2	5	5	
Information Content	2	5	4	
Spelling	3	4	4	
Length	3	3	3	
Overall Quality	2	5	5	
