1027	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	4	2	4	
Referential Clarity	4	1	4	
Focus	1	4	4	
Structure	3	2	4	
Coherence	2	2	4	
Readability	2	2	4	
Information Content	1	5	4	
Spelling	5	1	5	
Length	3	2	3	
Overall Quality	1	5	4	
