1041	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	1	5	4	Some sentences are no real sentences.
Non-Redundancy	2	4	3	
Referential Clarity	4	3	3	
Focus	1	4	4	
Structure	1	3	4	
Coherence	3	3	1	
Readability	2	3	3	
Information Content	2	3	3	
Spelling	2	3	3	
Length	3	3	3	
Overall Quality	2	3	3	
