1047	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	3	
Non-Redundancy	1	5	4	
Referential Clarity	5	1	3	
Focus	5	2	3	
Structure	1	3	3	
Coherence	1	3	2	
Readability	5	2	3	
Information Content	3	3	3	
Spelling	5	1	4	
Length	2	3	3	
Overall Quality	2		2	
