1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)		Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	5	1	4	whole sentences are used	
Non-Redundancy	4	4	4		
Referential Clarity	4	4	4		
Focus	4	3	4		
Structure	3	3	3		
Coherence	4	2	3		
Readability	4	4	4		
Information Content	5	3	4		
Spelling	5	1	4	whole sentences are used	
Length	4	2	2	cannot know if all imporant information are used	
Overall Quality	4	4	4		
