1018	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	4	2	2	
Referential Clarity	4	3	2	
Focus	3	5	1	
Structure	3	5	2	
Coherence	3	5	1	
Readability	2	4	3	
Information Content	3	4	1	
Spelling	5	3	5	
Length	4	1	5	
Overall Quality	3	5	2	A bit complicated topic. Hard to assess correctness
