1032	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	4	4	4	
Referential Clarity	4	4	4	
Focus	4	4	4	
Structure	4	4	3	
Coherence	3	4	3	
Readability	4	4	3	
Information Content	2	4	3	
Spelling	5	2	4	
Length	2	4	3	
Overall Quality	2	4	3	
