1034	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	3	3	
Non-Redundancy	4	3	3	
Referential Clarity	3	4	3	"""feelings about these kids"""
Focus	3	4	4	
Structure	3	3	2	
Coherence	3	3	2	
Readability	3	3	4	
Information Content	1	4	5	
Spelling	3	2	3	There are strangely formatted characters.
Length	3	3	2	
Overall Quality	3	3	3	
