1035	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	2	3	
Non-Redundancy	4	2	2	
Referential Clarity	4	2	3	
Focus	3	3	4	
Structure	3	2	3	
Coherence	2	3	4	
Readability	4	2	3	
Information Content	3	3	4	
Spelling	4	2	4	
Length	3	2	3	
Overall Quality	3	3	4	
