1041	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	2	5	"Z.4:unvollständiger Satz"
"Non-Redundancy"	5	3	5	
"Referential Clarity"	5	5	5	
"Focus"	5	5	5	
"Structure"	4	5	5	"Satz in Z.7 sollte woanders stehen"
"Coherence"	3	5	5	"Problem: Verbindung von Z.6, 7 und 8"
"Readability"	3	5	5	
"Information Content"	4	5	5	
"Spelling"	5	1	5	
"Length"	4	2	2	
"Overall Quality"	4	5	5	
