1041	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	5	2	5	
Focus	4	3	3	
Structure	2	2	4	better order conceivable
Coherence	1	4	4	
Readability	3	3	3	
Information Content	4	3	3	
Spelling	3	4	5	small letter at beginning of sentence
Length	4	4	4	
Overall Quality	3	5	4	
