1004	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	5	2	4		
Non-Redundancy	3	3	3	2 paritialy redundant sentences	
Referential Clarity	3	3	3	One unresolved reference	
Focus	4	4	3		
Structure	4	4	3	good first sentence	
Coherence	3	3	3	last sentence sort of unrelated	
Readability	4	3	4		
Information Content	4	3	3		
Spelling	5	2	4		
Length	3	2	2		
Overall Quality	4	3	4		
