1014	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	4	4	
"Non-Redundancy"	5	5	5	
"Referential Clarity"	3	5	5	"""We all know"""
"Focus"	3	4	4	
"Structure"	3	4	4	"Difference in sentence length and only 3 sentences"
"Coherence"	3	4	3	"Difference in sentence length and only 3 sentences"
"Readability"	5	4	5	
"Information Content"	4	3	4	
"Spelling"	5	4	4	
"Length"	3	4	5	"Difference in sentence length and only 3 sentences"
"Overall Quality"	4	5	4	
