1021	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	apostrophes opend but not closed
Non-Redundancy	4	4	4	
Referential Clarity	4	4	4	
Focus	4	4	4	
Structure	2	4	4	
Coherence	2	4	4	
Readability	3	4	4	
Information Content	3	4	4	
Spelling	4	2	4	
Length	3	4	3	
Overall Quality	2	4	3	
