1024	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	5	5	broken quotations
Non-Redundancy	4	2	4	
Referential Clarity	2	4	4	
Focus	3	1	2	
Structure	2	2	4	direct speech
Coherence	1	4	4	
Readability	3	3	3	
Information Content	4	3	3	
Spelling	5	2	5	
Length	4	3	4	
Overall Quality	2	5	4	
