1045	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	1	5	
Non-Redundancy	5	2	5	
Referential Clarity	3	2	5	
Focus	5	2	4	
Structure	3	1	1	
Coherence	5	4	3	
Readability	5	3	4	
Information Content	5	5	4	
Spelling	2	3	4	
Length	4	1	5	557
Overall Quality	4		4	
