1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	4	
Non-Redundancy	3	5	4	
Referential Clarity	3	5	3	
Focus	5	5	5	
Structure	4	5	5	
Coherence	4	5	5	
Readability	4	3	5	
Information Content	4	5	5	
Spelling	4	1	3	
Length	3	1	5	
Overall Quality	5		4	Very nice summary.
