1028	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	3	4	
Non-Redundancy	4	3	4	
Referential Clarity	2	3	4	
Focus	1	4	4	
Structure	1	4	4	
Coherence	1	4	4	
Readability	1	5	4	
Information Content	1	5	4	
Spelling	3	1	4	
Length	1	1	5	
Overall Quality	1		5	Almost only listing things without clear context.
