1036	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	5	broken quotations
Non-Redundancy	5	3	5	
Referential Clarity	5	3	5	
Focus	4	3	3	
Structure	3	2	3	
Coherence	2	3	3	
Readability	2	5	5	direct speech
Information Content	4	3	2	
Spelling	4	3	5	too many whitespaces
Length	2	2	4	
Overall Quality	3	3	4	
