1037	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	1	5	
Non-Redundancy	5	1	5	
Referential Clarity	2	4	4	
Focus	2	3	4	
Structure	2	3	4	
Coherence	2	3	5	
Readability	3	3	4	
Information Content	3	3	3	
Spelling	5	1	5	
Length	3	3	4	
Overall Quality	2	4	5	
