1034	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	5	
Referential Clarity	3	5	4	“They” in the 2nd sentence is not referring to the further sentence because kids usually do not have grandkids! What is “They” in the 4th sentence?
Focus	3	5	5	It is not focussing on the topic “parents of kids hooked computer games” claimed above
Structure	4	4	4	You cannot really catch the common theme
Coherence	4	4	3	
Readability	5	4	5	
Information Content	3	5	3	Sentences 4 and 5 do not deliver any information
Spelling	5	4	5	
Length	5	5	5	
Overall Quality	3	5	3	
