1036	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	3	4	4	"""Maybe not""but"""
"Non-Redundancy"	4	5	5	
"Referential Clarity"	2	5	5	"""Here"", ""Maybe not"""", ""A bashful""."""
"Focus"	5	4	4	
"Structure"	4	4	4	
"Coherence"	3	4	3	
"Readability"	3	4	5	"Very short sentences, partly out of context"
"Information Content"	3	3	4	"Very short sentences, sometimes not direct link to topic"
"Spelling"	3	4	4	"""Maybe not""but"""
"Length"	5	4	5	
"Overall Quality"	3	5	4	
