1048	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	5	
Non-Redundancy	5	2	4	
Referential Clarity	3	3	3	
Focus	4	5	3	
Structure	3	5	4	
Coherence	2	5	3	
Readability	3	4	3	
Information Content	5	4	4	
Spelling	5	3	5	
Length	4	1	5	
Overall Quality	4	5	5	
